SclId,Altitude,Cadence,Distance,Heartrate,Latitude,Longitude,Power,Time
MyFirstDevice,328,92,0.004,137,44.968046,-94.420307,326,2012-07-29T18:06:24Z
MyFirstDevice,328,103,0.053,142,44.968041,-94.419696,354,2012-07-29T18:06:30Z
MyFirstDevice,328,103,0.061,143,44.96804,-94.41959,354,2012-07-29T18:06:31Z
MyFirstDevice,328,99,0.069,144,44.968039,-94.419481,353,2012-07-29T18:06:32Z
MyFirstDevice,328,99,0.077,145,44.968039,-94.419376,353,2012-07-29T18:06:33Z
MyFirstDevice,328,103,0.086,146,44.96804,-94.419256,348,2012-07-29T18:06:34Z
MyFirstDevice,328,100,0.094,146,44.968042,-94.419152,365,2012-07-29T18:06:35Z
MyFirstDevice,328,102,0.103,147,44.968044,-94.419042,329,2012-07-29T18:06:36Z
MyFirstDevice,328,100,0.112,148,44.968046,-94.418933,355,2012-07-29T18:06:37Z
MyFirstDevice,328,102,0.12,149,44.968046,-94.41883,349,2012-07-29T18:06:38Z
MyFirstDevice,328,102,0.129,149,44.968046,-94.418722,349,2012-07-29T18:06:39Z
MyFirstDevice,328,102,0.137,150,44.968045,-94.418614,366,2012-07-29T18:06:40Z
MyFirstDevice,328,102,0.146,151,44.968045,-94.418503,366,2012-07-29T18:06:41Z
MyFirstDevice,328,98,0.154,151,44.968044,-94.418404,385,2012-07-29T18:06:42Z
MyFirstDevice,328,98,0.162,151,44.968043,-94.4183,380,2012-07-29T18:06:43Z
MyFirstDevice,328,100,0.171,151,44.968044,-94.4182,366,2012-07-29T18:06:44Z
MyFirstDevice,328,95,0.179,152,44.968044,-94.418105,398,2012-07-29T18:06:45Z
MyFirstDevice,328,95,0.187,153,44.968044,-94.418001,465,2012-07-29T18:06:46Z
MyFirstDevice,328,96,0.195,153,44.968045,-94.4179,487,2012-07-29T18:06:47Z
MyFirstDevice,328,96,0.203,154,44.968045,-94.4178,487,2012-07-29T18:06:48Z
MyFirstDevice,328,95,0.211,155,44.968045,-94.417699,439,2012-07-29T18:06:49Z
MyFirstDevice,328,95,0.219,155,44.968045,-94.417603,439,2012-07-29T18:06:50Z
MyFirstDevice,328,94,0.227,156,44.968044,-94.417501,448,2012-07-29T18:06:51Z
MyFirstDevice,328,95,0.235,157,44.968045,-94.417398,442,2012-07-29T18:06:52Z
MyFirstDevice,328,95,0.243,157,44.968045,-94.417305,442,2012-07-29T18:06:53Z
MyFirstDevice,328.2000122,94,0.251,158,44.968045,-94.417211,421,2012-07-29T18:06:54Z
MyFirstDevice,328.3999939,92,0.267,159,44.968046,-94.41701,399,2012-07-29T18:06:56Z
MyFirstDevice,328.6000061,92,0.274,160,44.968045,-94.416915,396,2012-07-29T18:06:57Z
MyFirstDevice,329,92,0.281,160,44.968045,-94.416831,370,2012-07-29T18:06:58Z
MyFirstDevice,329,93,0.289,160,44.968044,-94.416732,351,2012-07-29T18:06:59Z
MyFirstDevice,329.2000122,93,0.305,161,44.968042,-94.41653,400,2012-07-29T18:07:01Z
MyFirstDevice,329.3999939,93,0.312,162,44.96804,-94.416435,400,2012-07-29T18:07:02Z
MyFirstDevice,329.3999939,95,0.32,162,44.968039,-94.416336,417,2012-07-29T18:07:03Z
MyFirstDevice,329.3999939,95,0.328,162,44.968038,-94.416233,417,2012-07-29T18:07:04Z
MyFirstDevice,329.3999939,96,0.335,162,44.968036,-94.416129,374,2012-07-29T18:07:05Z
MyFirstDevice,329.6000061,98,0.344,162,44.968035,-94.416022,379,2012-07-29T18:07:06Z
MyFirstDevice,330,98,0.352,163,44.968033,-94.415918,363,2012-07-29T18:07:07Z
MyFirstDevice,330.2000122,99,0.36,163,44.968032,-94.415815,380,2012-07-29T18:07:08Z
MyFirstDevice,330.3999939,99,0.368,163,44.968031,-94.415708,381,2012-07-29T18:07:09Z
MyFirstDevice,330.3999939,98,0.377,163,44.968031,-94.415605,328,2012-07-29T18:07:10Z
MyFirstDevice,330.6000061,99,0.385,163,44.968031,-94.415495,349,2012-07-29T18:07:11Z
MyFirstDevice,331,100,0.393,163,44.968031,-94.415392,372,2012-07-29T18:07:12Z
MyFirstDevice,331,99,0.401,163,44.96803,-94.415282,328,2012-07-29T18:07:13Z
MyFirstDevice,331.2000122,99,0.41,164,44.96803,-94.415175,328,2012-07-29T18:07:14Z
